indicator,closest_climate_indicator,climate_similarity,second_closest_climate_indicator,second_closest_similarity,third_closest_climate_indicator,third_closest_similarity,nearest_rank
Refugees under the mandate of the UNRWA by country or territory of origin,Refugees under the mandate of the UNHCR by country or territory of origin,0.9999999768457789,Refugees under the mandate of the UNRWA by country or territory of asylum,0.9999949282962785,Refugees under the mandate of the UNHCR by country or territory of asylum,0.9999948031673315,13
"Net official flows from UN agencies, WTO-ITC (current US$)","Net official flows from UN agencies, FAO (current US$)",0.9999904764225288,"Net official flows from UN agencies, UNAIDS (current US$)",0.999990470742057,"Net official flows from UN agencies, IFAD (current US$)",0.9999904631805256,14
Multidimensional poverty headcount ratio (UNDP) (% of population),Multidimensional poverty headcount ratio (World Bank) (% of population),0.9990029316903639,Poverty headcount ratio at societal poverty line (% of population),0.9748559669921542,Poverty headcount ratio at national poverty lines (% of population),0.968501155650738,15
Primary school age children out-of-school (%),Children out of school (% of primary school age),0.9971691197549672,"Children out of school, primary",0.9274124229887245,Primary school starting age (years),0.8521237339846073,16
Public private partnerships investment in ICT (current US$),Public private partnerships investment in transport (current US$),0.9955304155111766,Public private partnerships investment in energy (current US$),0.9797313284100754,Investment in transport with private participation (current US$),0.9095505317891693,17
Investment in ICT with private participation (current US$),Investment in transport with private participation (current US$),0.9917843615244692,Investment in energy with private participation (current US$),0.9631679695735265,Public private partnerships investment in transport (current US$),0.9207421063545188,18
"Prevalence of stunting, height for age, female (modeled estimate, % of children under 5)","Prevalence of stunting, height for age (modeled estimate, % of children under 5)",0.9886424056716833,"Prevalence of stunting, height for age (% of children under 5)",0.9469779611185614,"Prevalence of overweight (modeled estimate, % of children under 5)",0.8769880917869606,19
Proportion of women subjected to physical and/or sexual violence in the last 12 months (% of ever-partnered women ages 15-49),Unmet need for contraception (% of married women ages 15-49),0.988350424578925,Prevalence of anemia among non-pregnant women (% of women ages 15-49),0.9821314859406717,"Contraceptive prevalence, any method (% of married women ages 15-49)",0.9738546907849193,20
"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)","Prevalence of stunting, height for age (modeled estimate, % of children under 5)",0.9880703675627921,"Prevalence of stunting, height for age (% of children under 5)",0.946243357556376,"Prevalence of overweight (modeled estimate, % of children under 5)",0.8768117776230008,21
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0.9867512958775054,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",0.9866504711754877,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",0.9857244598533199,22
"Human capital index plus (HCI+): on-the-job learning pillar score, male (scale -30–87)","Human capital index plus (HCI+): health pillar score, male (scale 0–50)",0.9867347881026737,"Human capital index plus (HCI+): on-the-job learning pillar score, total (scale -30–87)",0.9851790581094482,"Human capital index plus (HCI+): health pillar score, total (scale 0–50)",0.9714763342959167,23
"Human capital index plus (HCI+): on-the-job learning pillar score, female (scale -30–87)","Human capital index plus (HCI+): health pillar score, female (scale 0–50)",0.9867112700796143,"Human capital index plus (HCI+): on-the-job learning pillar score, total (scale -30–87)",0.9855724331194394,"Human capital index plus (HCI+): health pillar score, total (scale 0–50)",0.9720104200280424,24
"Mortality rate, infant, female (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",0.9863237181671496,"Mortality rate, neonatal (per 1,000 live births)",0.9853504514491719,"Mortality rate, under-5 (per 1,000 live births)",0.9849316399399328,25
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),0.986250779672034,"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",0.9861222015252793,"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",0.9852165023437289,26
"Human capital index plus (HCI+): education pillar score, total (scale 0–188)","Human capital index plus (HCI+): on-the-job learning pillar score, total (scale -30–87)",0.985862214229884,"Human capital index plus (HCI+): health pillar score, total (scale 0–50)",0.9795034309685974,"Human capital index plus (HCI+): health pillar score, female (scale 0–50)",0.9625252301313055,27
"Mortality rate, infant, male (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",0.9856366645343156,"Mortality rate, neonatal (per 1,000 live births)",0.9846349876112763,"Mortality rate, under-5 (per 1,000 live births)",0.9842292072864917,28
Urban population (% of total population),Population in urban agglomerations of more than 1 million (% of total population),0.9850861985563114,Population in urban agglomerations of more than 1 million,0.8787952006331314,Population in largest city,0.8630493506040946,29
"Prevalence of severe wasting, weight for height, female (% of children under 5)","Prevalence of severe wasting, weight for height (% of children under 5)",0.983518820970711,"Prevalence of wasting, weight for height (% of children under 5)",0.9834978643421538,"Prevalence of overweight, weight for height (% of children under 5)",0.9404272088483153,30
Urban land area where elevation is below 5 meters (% of total land area),Land area where elevation is below 5 meters (% of total land area),0.9830234936897123,Terrestrial protected areas (% of total land area),0.9528137597019128,Permanent cropland (% of land area),0.9266324776215077,31
"Prevalence of severe wasting, weight for height, male (% of children under 5)","Prevalence of severe wasting, weight for height (% of children under 5)",0.982774045746082,"Prevalence of wasting, weight for height (% of children under 5)",0.9827156081956087,"Prevalence of overweight, weight for height (% of children under 5)",0.9396791603976123,32
"Completeness of birth registration, female (%)",Completeness of birth registration (%),0.9826475765288646,Completeness of death registration with cause-of-death information (%),0.9155271056712211,"Life expectancy at birth, total (years)",0.5764609406497226,33
"Adjusted net enrollment rate, primary, female (% of primary school age children)","Adjusted net enrollment rate, primary (% of primary school age children)",0.9824887017303943,Children out of school (% of primary school age),0.8071680968961571,"Children out of school, primary",0.7700469065691469,34
Rural land area where elevation is below 5 meters (% of total land area),Land area where elevation is below 5 meters (% of total land area),0.9822823621739207,Terrestrial protected areas (% of total land area),0.9490502627715753,Permanent cropland (% of land area),0.9214206241196691,35
Public private partnerships investment in water and sanitation (current US$),Public private partnerships investment in transport (current US$),0.9822107028898521,Public private partnerships investment in energy (current US$),0.9679925667168265,Investment in transport with private participation (current US$),0.8982081314593451,36
Female primary school age children out-of-school (%),Children out of school (% of primary school age),0.9819946666903588,"Children out of school, primary",0.9133688386905937,Primary school starting age (years),0.8369626920046046,37
"Adjusted net enrollment rate, primary, male (% of primary school age children)","Adjusted net enrollment rate, primary (% of primary school age children)",0.9817431479826679,Children out of school (% of primary school age),0.8070258303148419,"Children out of school, primary",0.769774678495549,38
"Completeness of birth registration, male (%)",Completeness of birth registration (%),0.9817421804037241,Completeness of death registration with cause-of-death information (%),0.9144658219624601,"Life expectancy at birth, total (years)",0.5769072566666145,39
Male primary school age children out-of-school (%),Children out of school (% of primary school age),0.9813191078811692,"Children out of school, primary",0.9125199762303629,Primary school starting age (years),0.83689377962706,40
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)","Mortality rate attributed to unintentional poisoning (per 100,000 population)",0.9801827879216805,"Suicide mortality rate (per 100,000 population)",0.9710514916303011,"Mortality caused by road traffic injury (per 100,000 population)",0.9140222298969535,41
"Human capital index plus (HCI+): education pillar score, male (scale 0–188)","Human capital index plus (HCI+): health pillar score, male (scale 0–50)",0.9796212759048945,"Human capital index plus (HCI+): on-the-job learning pillar score, total (scale -30–87)",0.9694999114589237,"Human capital index plus (HCI+): health pillar score, total (scale 0–50)",0.9626668173797542,42
"Human capital index plus (HCI+): education pillar score, female (scale 0–188)","Human capital index plus (HCI+): health pillar score, female (scale 0–50)",0.9796047091182101,"Human capital index plus (HCI+): on-the-job learning pillar score, total (scale -30–87)",0.9695803121382652,"Human capital index plus (HCI+): health pillar score, total (scale 0–50)",0.9629060489973159,43
Management practices index,Gini index,0.9795211013820102,Consumer price index (2010 = 100),0.8659338615632052,Wholesale price index (2010 = 100),0.8655394118923688,44
"Prevalence of wasting, weight for height, female (% of children under 5)","Prevalence of wasting, weight for height (% of children under 5)",0.9792630936278367,"Prevalence of severe wasting, weight for height (% of children under 5)",0.9761461191670135,"Prevalence of overweight, weight for height (% of children under 5)",0.9471568529314994,45
"Mortality rate, under-5, female (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",0.9788692618087079,"Mortality rate, neonatal (per 1,000 live births)",0.9776785561009905,"Mortality rate, infant (per 1,000 live births)",0.9764329293485241,46
"Net intake rate in grade 1, female (% of official school-age population)",Net intake rate in grade 1 (% of official school-age population),0.9787291040796825,Age dependency ratio (% of working-age population),0.572042716644936,"Age dependency ratio, old (% of working-age population)",0.5703888957637748,47
"Prevalence of wasting, weight for height, male (% of children under 5)","Prevalence of wasting, weight for height (% of children under 5)",0.9783285294951575,"Prevalence of severe wasting, weight for height (% of children under 5)",0.9752584517055204,"Prevalence of overweight, weight for height (% of children under 5)",0.946246584290138,48
"Mortality rate, under-5, male (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)",0.9779414612657968,"Mortality rate, neonatal (per 1,000 live births)",0.9767309906420425,"Mortality rate, infant (per 1,000 live births)",0.9755198958677262,49
"Net intake rate in grade 1, male (% of official school-age population)",Net intake rate in grade 1 (% of official school-age population),0.9777683813730872,Age dependency ratio (% of working-age population),0.5720746044415296,"Age dependency ratio, old (% of working-age population)",0.5703574236914997,50
"Prevalence of overweight, weight for height, female (% of children under 5)","Prevalence of overweight, weight for height (% of children under 5)",0.9740023666487425,"Prevalence of wasting, weight for height (% of children under 5)",0.9442753277160841,"Prevalence of severe wasting, weight for height (% of children under 5)",0.9305356701108571,51
"Lower secondary completion rate, female (% of relevant age group)","Lower secondary completion rate, total (% of relevant age group)",0.9729992243670839,"Primary completion rate, total (% of relevant age group)",0.9017658551056161,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.6842773879095192,52
"Prevalence of overweight, weight for height, male (% of children under 5)","Prevalence of overweight, weight for height (% of children under 5)",0.9728433725778238,"Prevalence of wasting, weight for height (% of children under 5)",0.9431983246643627,"Prevalence of severe wasting, weight for height (% of children under 5)",0.9295306315108924,53
Urban population,Population in urban agglomerations of more than 1 million,0.9725826586961239,Population in urban agglomerations of more than 1 million (% of total population),0.8416567015286914,Population in largest city,0.78156453365025,54
"Lower secondary completion rate, male (% of relevant age group)","Lower secondary completion rate, total (% of relevant age group)",0.9723337791139404,"Primary completion rate, total (% of relevant age group)",0.9009378776437708,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.6834087749524462,55
"Secondary education, vocational pupils (% female)","Secondary education, vocational pupils",0.9713169228622318,"Secondary education, pupils",0.9697949764789614,"Secondary education, general pupils",0.9330302043477607,56
"Secondary education, general pupils (% female)","Secondary education, general pupils",0.9711333298467336,"Secondary education, vocational pupils",0.9398019401883277,"Secondary education, pupils",0.9361957421385821,57
"Specialist surgical workforce (per 100,000 population)","Mortality caused by road traffic injury (per 100,000 population)",0.9704944892582863,"Automated teller machines (ATMs) (per 100,000 adults)",0.9083526772519588,"Incidence of malaria (per 1,000 population at risk)",0.8839163932770063,58
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),Exclusive breastfeeding (% of children under 6 months),0.9703042245345447,"Immunization, HepB3 (% of one-year-old children)",0.9132902898150257,Prevalence of anemia among children (% of children ages 6-59 months),0.7969435142557225,59
"Prevalence of stunting, height for age, female (% of children under 5)","Prevalence of stunting, height for age (% of children under 5)",0.9702928489834203,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",0.9401874354717363,"Prevalence of overweight (modeled estimate, % of children under 5)",0.794526716869398,60
Other people in need of international protection by country or territory of asylum,Internally displaced people (IDP) by country or territory of asylum / origin,0.9702117734926625,Asylum-seekers by country or territory of origin,0.9466420085943025,Asylum-seekers by country or territory of asylum,0.9464563298923203,61
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",0.9698875702743863,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",0.9535765030915574,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",0.9532227787643157,62
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",0.9691229306106204,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",0.9525044485875521,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",0.9518308023562748,63
"Secondary education, pupils (% female)","Secondary education, pupils",0.9691214268971934,"Secondary education, vocational pupils",0.9652411988132301,"Secondary education, general pupils",0.9251295684134875,64
"Prevalence of stunting, height for age, male (% of children under 5)","Prevalence of stunting, height for age (% of children under 5)",0.9690230568549119,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",0.9391835800207197,"Prevalence of overweight (modeled estimate, % of children under 5)",0.7943204153570146,65
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",0.9688175788141986,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",0.9644163412244838,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",0.9515942276204886,66
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",0.9687691338692831,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",0.9661207841461128,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",0.9536255964762764,67
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0.9684364507358488,"Mortality rate, infant (per 1,000 live births)",0.32199331550526367,"Mortality rate, neonatal (per 1,000 live births)",0.32099659116864676,68
Population in the largest city (% of urban population),Population in urban agglomerations of more than 1 million,0.9682356183816149,Population in urban agglomerations of more than 1 million (% of total population),0.8870480368817051,Population in largest city,0.886904606262242,69
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",0.9681916417648688,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",0.9098693066296664,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",0.8862695411942173,70
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",0.968004625479104,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",0.9639330295667817,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",0.95145755845521,71
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",0.9679656548145182,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",0.964993866297829,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",0.9531758495224011,72
"Gross intake ratio in first grade of primary education, female (% of relevant age group)","Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.9679384832264051,"Primary completion rate, total (% of relevant age group)",0.7911872345259453,"Lower secondary completion rate, total (% of relevant age group)",0.6837209239053418,73
Investment in water and sanitation with private participation (current US$),Investment in transport with private participation (current US$),0.9677895656226452,Investment in energy with private participation (current US$),0.9426545268950174,Public private partnerships investment in transport (current US$),0.9087565654732225,74
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",0.9676119582889622,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",0.9308577312642017,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",0.924368330806089,75
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",0.9673612002405156,"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",0.9087902053380839,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",0.8850983879274169,76
Other people in need of international protection by country or territory of origin,Internally displaced people (IDP) by country or territory of asylum / origin,0.9671874462466913,Asylum-seekers by country or territory of origin,0.9413998399851603,Asylum-seekers by country or territory of asylum,0.9411960643798263,77
"Gross intake ratio in first grade of primary education, male (% of relevant age group)","Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.9671469185249298,"Primary completion rate, total (% of relevant age group)",0.7906370753631848,"Lower secondary completion rate, total (% of relevant age group)",0.683485248558526,78
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)","Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",0.9669027787678686,"Mortality rate, infant (per 1,000 live births)",0.32182006648068573,"Mortality rate, neonatal (per 1,000 live births)",0.32079154498451623,79
"Prevalence of overweight, female (modeled estimate, % of children under 5)","Prevalence of overweight (modeled estimate, % of children under 5)",0.9668795433150892,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",0.8664553949104953,"Prevalence of stunting, height for age (% of children under 5)",0.7737471069352733,80
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",0.966771227200239,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",0.9299848052094642,"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",0.9238335053303476,81
"School enrollment, secondary, female (% net)","School enrollment, secondary (% net)",0.9666580671055267,"School enrollment, secondary (% gross)",0.8965285628284846,"School enrollment, secondary, private (% of total secondary)",0.866813405786697,82
"Completeness of birth registration, urban (%)",Completeness of birth registration (%),0.9665137043679503,Completeness of death registration with cause-of-death information (%),0.8971131708694023,"Life expectancy at birth, total (years)",0.5648594790227321,83
"School enrollment, secondary, female (% gross)","School enrollment, secondary (% gross)",0.9663740792279913,"School enrollment, secondary (% net)",0.9047633650319666,"School enrollment, preprimary (% gross)",0.8945742115533957,84
"Primary completion rate, female (% of relevant age group)","Primary completion rate, total (% of relevant age group)",0.966164598733452,"Lower secondary completion rate, total (% of relevant age group)",0.9005146140122966,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.7914407826277495,85
"Primary completion rate, male (% of relevant age group)","Primary completion rate, total (% of relevant age group)",0.9653298368157514,"Lower secondary completion rate, total (% of relevant age group)",0.9000205668373034,"Gross intake ratio in first grade of primary education, total (% of relevant age group)",0.7904761534528721,86
"Prevalence of overweight, male (modeled estimate, % of children under 5)","Prevalence of overweight (modeled estimate, % of children under 5)",0.9652977784725338,"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",0.8645449306689822,"Prevalence of stunting, height for age (% of children under 5)",0.7717095112511773,87
"School enrollment, secondary, male (% net)","School enrollment, secondary (% net)",0.9650092665441447,"School enrollment, secondary (% gross)",0.895078004534769,"School enrollment, secondary, private (% of total secondary)",0.8644973851976538,88
"School enrollment, secondary, male (% gross)","School enrollment, secondary (% gross)",0.9649873500348193,"School enrollment, secondary (% net)",0.9033811100039805,"School enrollment, preprimary (% gross)",0.8948209751765247,89
"Completeness of birth registration, rural (%)",Completeness of birth registration (%),0.9646809755935,Completeness of death registration with cause-of-death information (%),0.9012933716864175,"Life expectancy at birth, total (years)",0.5547490437563972,90
Urban land area (sq. km),Land area (sq. km),0.9641588656658797,Agricultural land (sq. km),0.9509946451870694,Forest area (sq. km),0.9396043479144005,91
"Employment to population ratio, 15+, female (%) (national estimate)","Employment to population ratio, 15+, total (%) (national estimate)",0.9625753784127241,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.766836661920482,Bank liquid reserves to bank assets ratio (%),0.4891376965161194,92
"School enrollment, preprimary, female (% gross)","School enrollment, preprimary (% gross)",0.9619453163767103,"School enrollment, tertiary (% gross)",0.9415438234421626,"School enrollment, primary (% gross)",0.8903747958088493,93
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.9616076722820999,"Employment to population ratio, 15+, total (%) (national estimate)",0.7626440756554123,Employment in industry (% of total employment) (modeled ILO estimate),0.6440154478735283,94
"Employment to population ratio, 15+, male (%) (national estimate)","Employment to population ratio, 15+, total (%) (national estimate)",0.961566830297476,"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.766513479733164,Bank liquid reserves to bank assets ratio (%),0.4889158828868505,95
"Secondary education, teachers (% female)","Secondary education, teachers",0.9613103299065054,Trained teachers in secondary education (% of total teachers),0.7974543237347377,Trained teachers in upper secondary education (% of total teachers),0.7918047623163377,96
"Secondary education, teachers, female","Secondary education, teachers",0.9613103299065054,Trained teachers in secondary education (% of total teachers),0.7974543237347377,Trained teachers in upper secondary education (% of total teachers),0.7918047623163377,97
"School enrollment, tertiary, female (% gross)","School enrollment, tertiary (% gross)",0.9612911156303475,"School enrollment, preprimary (% gross)",0.9548928628208062,"School enrollment, primary (% gross)",0.887195990489068,98
Rural land area (sq. km),Land area (sq. km),0.961228580140175,Agricultural land (sq. km),0.9448298485200187,Population density (people per sq. km of land area),0.9333774920362041,99
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",0.9606303514052195,"Employment to population ratio, 15+, total (%) (national estimate)",0.7613706467154785,Employment in industry (% of total employment) (modeled ILO estimate),0.6437927266696154,100
"Labor force, female (% of total labor force)","Labor force, total",0.9606190453147359,Armed forces personnel (% of total labor force),0.9388875406522039,"Unemployment, total (% of total labor force) (national estimate)",0.8206348431472371,101
"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",0.9606045135546224,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",0.9606004823966634,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0.9605989432078242,102
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",0.960603958781516,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",0.960599529938578,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0.9605987972721451,103
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",0.9605975977259842,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",0.9605925584916404,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0.9605914168520601,104
"School enrollment, preprimary, male (% gross)","School enrollment, preprimary (% gross)",0.9603763792705547,"School enrollment, tertiary (% gross)",0.9390778659849827,"School enrollment, primary (% gross)",0.8877629917179632,105
"Primary education, pupils (% female)","Primary education, pupils",0.9600053469915926,"Secondary education, pupils",0.7644069974095029,"Secondary education, vocational pupils",0.7200180789194595,106
"School enrollment, tertiary, male (% gross)","School enrollment, tertiary (% gross)",0.959671798144827,"School enrollment, preprimary (% gross)",0.9542386369157229,"School enrollment, primary (% gross)",0.8854442733066297,107
"School enrollment, primary, female (% gross)","School enrollment, primary (% gross)",0.959652359301397,"School enrollment, primary (% net)",0.899878821334896,"School enrollment, preprimary (% gross)",0.8890371562825443,108
"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",0.9595759506399677,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",0.959572448933102,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0.9595707310090926,109
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",0.959575524547673,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",0.9595716254808815,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0.9595707134378991,110
"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",0.959569473086551,"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",0.9595649641156352,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",0.9595636434200312,111
Number of deaths ages 5-9 years,Number of under-five deaths,0.9585595560772721,Number of neonatal deaths,0.9342969328708158,Number of infant deaths,0.925112204502745,112
"School enrollment, primary, male (% gross)","School enrollment, primary (% gross)",0.9582439424493401,"School enrollment, primary (% net)",0.8984596588238931,"School enrollment, preprimary (% gross)",0.8888479059836268,113
"School enrollment, primary, female (% net)","School enrollment, primary (% net)",0.9579193969689839,"School enrollment, primary (% gross)",0.88462717471262,"School enrollment, primary, private (% of total primary)",0.8606245141512502,114
