indicator_label,cluster
Electricity production from hydroelectric sources (% of total),0
Electricity production from natural gas sources (% of total),0
Electricity production from nuclear sources (% of total),0
Electricity production from oil sources (% of total),0
"Electricity production from oil, gas and coal sources (% of total)",0
"Electricity production from renewable sources, excluding hydroelectric (% of total)",0
"Electricity production from renewable sources, excluding hydroelectric (kWh)",0
F-gases emissions from Industrial Processes (Mt CO2e),0
Fertilizer consumption (% of fertilizer production),0
"Fish species, threatened",0
Gross savings (% of GNI),0
Gross savings (current US$),0
"Industrial design applications, nonresident, by count",0
"Industrial design applications, resident, by count",0
Land under cereal production (hectares),0
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,0
"Mammal species, threatened",0
Methane (CH4) emissions (total) excluding LULUCF (% change from 1990),0
Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),0
Methane (CH4) emissions from Agriculture (Mt CO2e),0
Methane (CH4) emissions from Building (Energy) (Mt CO2e),0
Methane (CH4) emissions from Fugitive Emissions (Energy) (Mt CO2e),0
Methane (CH4) emissions from Industrial Combustion (Energy) (Mt CO2e),0
Methane (CH4) emissions from Industrial Processes (Mt CO2e),0
Methane (CH4) emissions from Power Industry (Energy) (Mt CO2e),0
Methane (CH4) emissions from Transport (Energy) (Mt CO2e),0
Methane (CH4) emissions from Waste (Mt CO2e),0
Nitrous oxide (N2O) emissions (total) excluding LULUCF (% change from 1990),0
Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),0
Nitrous oxide (N2O) emissions from Agriculture (Mt CO2e),0
Nitrous oxide (N2O) emissions from Building (Energy) (Mt CO2e),0
Nitrous oxide (N2O) emissions from Fugitive Emissions (Energy) (Mt CO2e),0
Nitrous oxide (N2O) emissions from Industrial Combustion (Energy) (Mt CO2e),0
Nitrous oxide (N2O) emissions from Industrial Processes (Mt CO2e),0
Nitrous oxide (N2O) emissions from Power Industry (Energy) (Mt CO2e),0
Nitrous oxide (N2O) emissions from Transport (Energy) (Mt CO2e),0
Nitrous oxide (N2O) emissions from Waste (Mt CO2e),0
"Patent applications, nonresidents",0
"Patent applications, residents",0
"Plant species (higher), threatened",0
Renewable electricity output (% of total electricity output),0
Renewable internal freshwater resources per capita (cubic meters),0
"Renewable internal freshwater resources, total (billion cubic meters)",0
Total fisheries production (metric tons),0
Total greenhouse gas emissions excluding LULUCF (% change from 1990),0
Total greenhouse gas emissions excluding LULUCF (Mt CO2e),0
Total greenhouse gas emissions excluding LULUCF per capita (t CO2e/capita),0
Total greenhouse gas emissions including LULUCF (Mt CO2e),0
"Trademark applications, nonresident, by count",0
"Trademark applications, resident, by count",0
Account ownership at a financial institution or with a mobile-money-service provider (% of population ages 15+),1
"Account ownership at a financial institution or with a mobile-money-service provider, female (% of population ages 15+)",1
"Account ownership at a financial institution or with a mobile-money-service provider, male (% of population ages 15+)",1
"Account ownership at a financial institution or with a mobile-money-service provider, older adults (% of population ages 25+)",1
"Account ownership at a financial institution or with a mobile-money-service provider, poorest 40% (% of population ages 15+)",1
"Account ownership at a financial institution or with a mobile-money-service provider, primary education or less (% of population ages 15+)",1
"Account ownership at a financial institution or with a mobile-money-service provider, richest 60% (% of population ages 15+)",1
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",1
"Account ownership at a financial institution or with a mobile-money-service provider, young adults (% of population ages 15-24)",1
"Condom use, population ages 15-24, female (% of females ages 15-24)",1
"Condom use, population ages 15-24, male (% of males ages 15-24)",1
Diabetes prevalence (% of population ages 20 to 79),1
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",1
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",1
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",1
Individuals using the Internet (% of population),1
"Individuals using the Internet, female (% of female population)",1
"Individuals using the Internet, male (% of male population)",1
Population ages 0-14 (% of total population),1
"Population ages 0-14, female",1
"Population ages 0-14, female (% of female population)",1
"Population ages 0-14, male",1
"Population ages 0-14, male (% of male population)",1
"Population ages 0-14, total",1
"Population ages 00-04, female (% of female population)",1
"Population ages 00-04, male (% of male population)",1
"Population ages 05-09, female (% of female population)",1
"Population ages 05-09, male (% of male population)",1
"Population ages 10-14, female (% of female population)",1
"Population ages 10-14, male (% of male population)",1
"Population ages 15-19, female (% of female population)",1
"Population ages 15-19, male (% of male population)",1
Population ages 15-64 (% of total population),1
"Population ages 15-64, female",1
"Population ages 15-64, female (% of female population)",1
"Population ages 15-64, male",1
"Population ages 15-64, male (% of male population)",1
"Population ages 15-64, total",1
"Population ages 20-24, female (% of female population)",1
"Population ages 20-24, male (% of male population)",1
"Population ages 25-29, female (% of female population)",1
"Population ages 25-29, male (% of male population)",1
"Population ages 30-34, female (% of female population)",1
"Population ages 30-34, male (% of male population)",1
"Population ages 35-39, female (% of female population)",1
"Population ages 35-39, male (% of male population)",1
"Population ages 40-44, female (% of female population)",1
"Population ages 40-44, male (% of male population)",1
"Population ages 45-49, female (% of female population)",1
"Population ages 45-49, male (% of male population)",1
"Population ages 50-54, female (% of female population)",1
"Population ages 50-54, male (% of male population)",1
"Population ages 55-59, female (% of female population)",1
"Population ages 55-59, male (% of male population)",1
"Population ages 60-64, female (% of female population)",1
"Population ages 60-64, male (% of male population)",1
Population ages 65 and above (% of total population),1
"Population ages 65 and above, female",1
"Population ages 65 and above, female (% of female population)",1
"Population ages 65 and above, male",1
"Population ages 65 and above, male (% of male population)",1
"Population ages 65 and above, total",1
"Population ages 65-69, female (% of female population)",1
"Population ages 65-69, male (% of male population)",1
"Population ages 70-74, female (% of female population)",1
"Population ages 70-74, male (% of male population)",1
"Population ages 75-79, female (% of female population)",1
"Population ages 75-79, male (% of male population)",1
"Population ages 80 and above, female (% of female population)",1
"Population ages 80 and above, male (% of male population)",1
Population in largest city,1
"Population, female",1
"Population, female (% of total population)",1
"Population, male",1
"Population, male (% of total population)",1
"Prevalence of HIV, total (% of population ages 15-49)",1
Prevalence of undernourishment (% of population),1
Use of insecticide-treated bed nets (% of under-5 population),1
Women's share of population ages 15+ living with HIV (%),1
"Agriculture, forestry, and fishing, value added (% of GDP)",2
"Agriculture, forestry, and fishing, value added (annual % growth)",2
"Agriculture, forestry, and fishing, value added (constant 2015 US$)",2
"Agriculture, forestry, and fishing, value added (constant LCU)",2
"Agriculture, forestry, and fishing, value added (current LCU)",2
"Agriculture, forestry, and fishing, value added (current US$)",2
"Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)",2
Broad money (% of GDP),2
Broad money (current LCU),2
Broad money growth (annual %),2
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),2
Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),2
"Central government debt, total (% of GDP)",2
"Central government debt, total (current LCU)",2
Changes in inventories (constant LCU),2
Changes in inventories (current LCU),2
Changes in inventories (current US$),2
Chemicals (% of value added in manufacturing),2
Claims on central government (annual growth as % of broad money),2
"Claims on central government, etc. (% GDP)",2
Claims on other sectors of the domestic economy (% of GDP),2
Claims on other sectors of the domestic economy (annual growth as % of broad money),2
Claims on private sector (annual growth as % of broad money),2
Coal rents (% of GDP),2
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",2
Compensation of employees (% of expense),2
Compensation of employees (current LCU),2
Current account balance (% of GDP),2
Customs and other import duties (% of tax revenue),2
Customs and other import duties (current LCU),2
DEC alternative conversion factor (LCU per US$),2
Discrepancy in expenditure estimate of GDP (constant LCU),2
Discrepancy in expenditure estimate of GDP (current LCU),2
Domestic credit provided by financial sector (% of GDP),2
Domestic credit to private sector (% of GDP),2
Domestic credit to private sector by banks (% of GDP),2
Energy intensity level of primary energy (MJ/$2017 PPP GDP),2
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",2
Expense (% of GDP),2
Expense (current LCU),2
Exports as a capacity to import (constant LCU),2
Financial intermediary services indirectly Measured (FISIM) (constant LCU),2
Financial intermediary services indirectly Measured (FISIM) (current LCU),2
"Food, beverages and tobacco (% of value added in manufacturing)",2
"Foreign direct investment, net inflows (% of GDP)",2
"Foreign direct investment, net outflows (% of GDP)",2
Forest rents (% of GDP),2
GDP (constant 2015 US$),2
GDP (constant LCU),2
GDP (current LCU),2
GDP (current US$),2
GDP deflator (base year varies by country),2
GDP deflator: linked series (base year varies by country),2
GDP growth (annual %),2
GDP per capita (constant 2015 US$),2
GDP per capita (constant LCU),2
GDP per capita (current LCU),2
GDP per capita (current US$),2
GDP per capita growth (annual %),2
"GDP per capita, PPP (constant 2021 international $)",2
"GDP per capita, PPP (current international $)",2
GDP per person employed (constant 2021 PPP $),2
GDP per unit of energy use (PPP $ per kg of oil equivalent),2
GDP per unit of energy use (constant 2021 PPP $ per kg of oil equivalent),2
"GDP, PPP (constant 2021 international $)",2
"GDP, PPP (current international $)",2
GDP: linked series (current LCU),2
GNI (constant 2015 US$),2
GNI (constant LCU),2
GNI (current LCU),2
GNI (current US$),2
GNI growth (annual %),2
GNI per capita (constant 2015 US$),2
GNI per capita (constant LCU),2
GNI per capita (current LCU),2
GNI per capita growth (annual %),2
"GNI per capita, Atlas method (current US$)",2
"GNI per capita, PPP (constant 2021 international $)",2
"GNI per capita, PPP (current international $)",2
"GNI, Atlas method (current US$)",2
"GNI, PPP (constant 2021 international $)",2
"GNI, PPP (current international $)",2
GNI: linked series (current LCU),2
Grants and other revenue (% of revenue),2
Grants and other revenue (current LCU),2
Gross capital formation (% of GDP),2
Gross capital formation (annual % growth),2
Gross capital formation (constant 2015 US$),2
Gross capital formation (constant LCU),2
Gross capital formation (current LCU),2
Gross capital formation (current US$),2
Gross domestic income (constant LCU),2
Gross domestic savings (% of GDP),2
Gross domestic savings (current LCU),2
Gross domestic savings (current US$),2
Gross fixed capital formation (% of GDP),2
Gross fixed capital formation (annual % growth),2
Gross fixed capital formation (constant 2015 US$),2
Gross fixed capital formation (constant LCU),2
Gross fixed capital formation (current LCU),2
Gross fixed capital formation (current US$),2
"Gross fixed capital formation, private sector (% of GDP)",2
"Gross fixed capital formation, private sector (current LCU)",2
Gross national expenditure (constant LCU),2
Gross national expenditure (current LCU),2
Gross savings (% of GDP),2
Gross savings (current LCU),2
Gross value added at basic prices (GVA) (constant 2015 US$),2
Gross value added at basic prices (GVA) (constant LCU),2
Gross value added at basic prices (GVA) (current LCU),2
Gross value added at basic prices (GVA) (current US$),2
"IFC, private nonguaranteed (NFL, US$)",2
"Industry (including construction), value added (% of GDP)",2
"Industry (including construction), value added (annual % growth)",2
"Industry (including construction), value added (constant 2015 US$)",2
"Industry (including construction), value added (constant LCU)",2
"Industry (including construction), value added (current LCU)",2
"Industry (including construction), value added (current US$)",2
"Industry (including construction), value added per worker (constant 2015 US$)",2
"Inflation, GDP deflator (annual %)",2
"Inflation, GDP deflator: linked series (annual %)",2
"Inflation, consumer prices (annual %)",2
Interest payments (% of expense),2
Interest payments (% of revenue),2
Interest payments (current LCU),2
Investment in ICT with private participation (current US$),2
Investment in energy with private participation (current US$),2
Investment in transport with private participation (current US$),2
Investment in water and sanitation with private participation (current US$),2
Machinery and transport equipment (% of value added in manufacturing),2
"Manufacturing, value added (% of GDP)",2
"Manufacturing, value added (annual % growth)",2
"Manufacturing, value added (constant 2015 US$)",2
"Manufacturing, value added (constant LCU)",2
"Manufacturing, value added (current LCU)",2
"Manufacturing, value added (current US$)",2
Market capitalization of listed domestic companies (% of GDP),2
Market capitalization of listed domestic companies (current US$),2
Medium and high-tech manufacturing value added (% manufacturing value added),2
Merchandise trade (% of GDP),2
Military expenditure (current LCU),2
Mineral rents (% of GDP),2
Monetary Sector credit to private sector (% GDP),2
Natural gas rents (% of GDP),2
Net ODA provided to the least developed countries (% of GNI),2
"Net ODA provided, to the least developed countries (current US$)",2
"Net ODA provided, total (% of GNI)",2
"Net ODA provided, total (constant 2021 US$)",2
"Net ODA provided, total (current US$)",2
Net ODA received (% of GNI),2
Net ODA received (% of central government expense),2
Net ODA received (% of gross capital formation),2
Net ODA received per capita (current US$),2
Net acquisition of financial assets (% of GDP),2
Net acquisition of financial assets (current LCU),2
Net domestic credit (current LCU),2
"Net financial flows, IBRD (NFL, current US$)",2
"Net financial flows, IDA (NFL, current US$)",2
"Net financial flows, IMF concessional (NFL, current US$)",2
"Net financial flows, IMF nonconcessional (NFL, current US$)",2
"Net financial flows, RDB concessional (NFL, current US$)",2
"Net financial flows, RDB nonconcessional (NFL, current US$)",2
"Net financial flows, bilateral (NFL, current US$)",2
"Net financial flows, multilateral (NFL, current US$)",2
"Net financial flows, others (NFL, current US$)",2
Net foreign assets (current LCU),2
"Net incurrence of liabilities, total (% of GDP)",2
"Net incurrence of liabilities, total (current LCU)",2
Net investment in nonfinancial assets (% of GDP),2
Net investment in nonfinancial assets (current LCU),2
Net lending (+) / net borrowing (-) (% of GDP),2
Net lending (+) / net borrowing (-) (current LCU),2
Net migration,2
Net primary income (Net income from abroad) (constant LCU),2
Net primary income (Net income from abroad) (current LCU),2
Net primary income (Net income from abroad) (current US$),2
Net secondary income (Net current transfers from abroad) (constant LCU),2
Net secondary income (Net current transfers from abroad) (current LCU),2
Net secondary income (Net current transfers from abroad) (current US$),2
"Official exchange rate (LCU per US$, period average)",2
Oil rents (% of GDP),2
Other expense (% of expense),2
Other expense (current LCU),2
Other manufacturing (% of value added in manufacturing),2
Other taxes (% of revenue),2
Other taxes (current LCU),2
"PNG, bonds (NFL, current US$)",2
"PNG, commercial banks and other creditors (NFL, current US$)",2
"PPG, bonds (NFL, current US$)",2
"PPG, commercial banks (NFL, current US$)",2
"PPG, official creditors (NFL, US$)",2
"PPG, other private creditors (NFL, current US$)",2
"PPG, private creditors (NFL, US$)",2
"PPP conversion factor, GDP (LCU per international $)",2
"PPP conversion factor, private consumption (LCU per international $)",2
"Personal remittances, received (% of GDP)",2
"Personal remittances, received (current US$)",2
"Portfolio investment, bonds (PPG + PNG) (NFL, current US$)",2
Prevalence of current tobacco use (% of adults),2
"Prevalence of current tobacco use, females (% of female adults)",2
"Prevalence of current tobacco use, males (% of male adults)",2
Price level index (GDP),2
Public private partnerships investment in ICT (current US$),2
Public private partnerships investment in energy (current US$),2
Public private partnerships investment in transport (current US$),2
Public private partnerships investment in water and sanitation (current US$),2
"Revenue, excluding grants (% of GDP)",2
"Revenue, excluding grants (current LCU)",2
S&P Global Equity Indices (annual % change),2
"Services, value added (% of GDP)",2
"Services, value added (annual % growth)",2
"Services, value added (constant 2015 US$)",2
"Services, value added (constant LCU)",2
"Services, value added (current LCU)",2
"Services, value added (current US$)",2
"Services, value added per worker (constant 2015 US$)",2
Social contributions (current LCU),2
"Stocks traded, total value (% of GDP)",2
Subsidies and other transfers (% of expense),2
Subsidies and other transfers (current LCU),2
Tax revenue (% of GDP),2
Tax revenue (current LCU),2
Taxes less subsidies on products (constant LCU),2
Taxes less subsidies on products (current LCU),2
Taxes less subsidies on products (current US$),2
Taxes on exports (% of tax revenue),2
Taxes on exports (current LCU),2
"Taxes on income, profits and capital gains (% of revenue)",2
"Taxes on income, profits and capital gains (current LCU)",2
Taxes on international trade (% of revenue),2
Taxes on international trade (current LCU),2
Terms of trade adjustment (constant LCU),2
Textiles and clothing (% of value added in manufacturing),2
Total natural resources rents (% of GDP),2
Trade (% of GDP),2
Trade in services (% of GDP),2
"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)",2
B-READY: Business Entry Pillar 1: Quality of Regulations for Business Entry,3
B-READY: Business Entry Pillar 2: Digital Public Services and Transparency of Information for Business Entry,3
B-READY: Business Entry Pillar 3: Operational Efficiency of Business Entry,3
B-READY: Business Entry: Overall Score,3
B-READY: Business Insolvency Pillar 1: Quality of Regulations for Judicial Insolvency Proceedings,3
B-READY: Business Insolvency Pillar 2: Quality of Institutional and Operational Infrastructure for Judicial Insolvency Proceedings,3
B-READY: Business Insolvency Pillar 3: Operational Efficiency of Resolving Judicial Insolvency Proceedings,3
B-READY: Business Insolvency: Overall Score,3
B-READY: Business Location Pillar 1: Quality of Regulations for Business Location,3
B-READY: Business Location Pillar 2: Quality of Public Services and Transparency of Information for Business Location,3
B-READY: Business Location Pillar 3: Operational Efficiency of Establishing a Business Location,3
B-READY: Business Location: Overall Score,3
B-READY: Dispute Resolution Pillar 1: Quality of Regulations for Dispute Resolution,3
B-READY: Dispute Resolution Pillar 2: Public Services for Dispute Resolution,3
B-READY: Dispute Resolution Pillar 3:  Ease of Resolving a Commercial Dispute,3
B-READY: Dispute Resolution: Overall Score,3
B-READY: Financial Services Pillar 1: Quality of Regulations for Financial Services,3
B-READY: Financial Services Pillar 2: Accessibility of Information in Credit Infrastructure,3
B-READY: Financial Services Pillar 3: Operational Efficiency of Receiving Financial Services,3
B-READY: Financial Services: Overall Score,3
B-READY: International Trade Pillar 1: Quality of Regulations for International Trade,3
B-READY: International Trade Pillar 2: Quality of Public Services for the Facilitation of International Trade,3
"B-READY: International Trade Pillar 3: Efficiency of Importing Goods, Exporting Goods, and Engaging in Digital Trade",3
B-READY: International Trade: Overall Score,3
B-READY: Labor Pillar 1: Quality of Labor Regulations,3
B-READY: Labor Pillar 2: Adequacy of Public Services for Labor,3
B-READY: Labor Pillar 3: Operational Efficiency of Labor Regulations and Public Services in Practice,3
B-READY: Labor: Overall Score,3
B-READY: Market Competition Pillar 1: Quality of Regulations that Promote Market Competition,3
B-READY: Market Competition Pillar 2: Public Services that Promote Market Competition,3
B-READY: Market Competition Pillar 3:  Implementation of Key Services Promoting Market Competition,3
B-READY: Market Competition: Overall Score,3
B-READY: Pillar 1: Regulatory Framework,3
B-READY: Pillar 2: Public Services,3
B-READY: Pillar 3: Operational Efficiency,3
B-READY: Taxation Pillar 1: Quality of Regulations on Taxation,3
B-READY: Taxation Pillar 2: Public Services Provided by the Tax Administration,3
B-READY: Taxation Pillar 3: Operational Efficiency of Tax Systems in Practice,3
B-READY: Taxation: Overall Score,3
B-READY: Utility Services Pillar 1: Quality of Regulations on Utility Services,3
B-READY: Utility Services Pillar 2: Quality of Governance and Transparency of Utility Services,3
B-READY: Utility Services Pillar 3: Operational Efficiency of Utility Service Provision,3
B-READY: Utility Services: Overall Score,3
Disaster risk reduction progress score (1-5 scale; 5=best),3
"Human capital index plus (HCI+): education pillar score, female (scale 0–188)",3
"Human capital index plus (HCI+): education pillar score, male (scale 0–188)",3
"Human capital index plus (HCI+): education pillar score, total (scale 0–188)",3
"Human capital index plus (HCI+): health pillar score, female (scale 0–50)",3
"Human capital index plus (HCI+): health pillar score, male (scale 0–50)",3
"Human capital index plus (HCI+): health pillar score, total (scale 0–50)",3
"Human capital index plus (HCI+): on-the-job learning pillar score, female (scale -30–87)",3
"Human capital index plus (HCI+): on-the-job learning pillar score, male (scale -30–87)",3
"Human capital index plus (HCI+): on-the-job learning pillar score, total (scale -30–87)",3
"Human capital index plus (HCI+): overall score, female (scale 0–325)",3
"Human capital index plus (HCI+): overall score, male (scale 0–325)",3
"Human capital index plus (HCI+): overall score, total (scale 0–325)",3
Statistical performance indicators (SPI): Overall score (scale 0-100),3
Statistical performance indicators (SPI): Pillar 1 data use score (scale 0-100),3
Statistical performance indicators (SPI): Pillar 2 data services score (scale 0-100),3
Statistical performance indicators (SPI): Pillar 3 data products score  (scale 0-100),3
Statistical performance indicators (SPI): Pillar 4 data sources score (scale 0-100),3
Statistical performance indicators (SPI): Pillar 5 data infrastructure score (scale 0-100),3
WBL: Enforcement Perceptions Index (scale 0-100),3
WBL: Legal Framework Index (scale 0-100),3
WBL: Supportive Framework Index (scale 0-100),3
ARI treatment (% of children under 5 taken to a health provider),4
"Adjusted net enrollment rate, primary (% of primary school age children)",4
"Adjusted net enrollment rate, primary, female (% of primary school age children)",4
"Adjusted net enrollment rate, primary, male (% of primary school age children)",4
Adults (ages 15+) and children (ages 0-14) newly infected with HIV,4
Adults (ages 15-49) newly infected with HIV,4
Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),4
"Average working hours of children, study and work, ages 7-14 (hours per week)",4
"Average working hours of children, study and work, female, ages 7-14 (hours per week)",4
"Average working hours of children, study and work, male, ages 7-14 (hours per week)",4
"Average working hours of children, working only, ages 7-14 (hours per week)",4
"Average working hours of children, working only, female, ages 7-14 (hours per week)",4
"Average working hours of children, working only, male, ages 7-14 (hours per week)",4
Child employment in agriculture (% of economically active children ages 7-14),4
"Child employment in agriculture, female (% of female economically active children ages 7-14)",4
"Child employment in agriculture, male (% of male economically active children ages 7-14)",4
Child employment in manufacturing (% of economically active children ages 7-14),4
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",4
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",4
Child employment in services (% of economically active children ages 7-14),4
"Child employment in services, female (% of female economically active children ages 7-14)",4
"Child employment in services, male (% of male economically active children ages 7-14)",4
Children (0-14) living with HIV,4
Children (ages 0-14) newly infected with HIV,4
"Children in employment, female (% of female children ages 7-14)",4
"Children in employment, male (% of male children ages 7-14)",4
"Children in employment, self-employed (% of children in employment, ages 7-14)",4
"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",4
"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",4
"Children in employment, study and work (% of children in employment, ages 7-14)",4
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",4
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",4
"Children in employment, total (% of children ages 7-14)",4
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",4
"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",4
"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",4
"Children in employment, wage workers (% of children in employment, ages 7-14)",4
"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",4
"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",4
"Children in employment, work only (% of children in employment, ages 7-14)",4
"Children in employment, work only, female (% of female children in employment, ages 7-14)",4
"Children in employment, work only, male (% of male children in employment, ages 7-14)",4
Children out of school (% of primary school age),4
"Children out of school, female (% of female primary school age)",4
"Children out of school, male (% of male primary school age)",4
"Children out of school, primary",4
"Children out of school, primary, female",4
"Children out of school, primary, male",4
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),4
"Contraceptive prevalence, any method (% of married women ages 15-49)",4
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",4
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),4
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),4
Diarrhea treatment (% of children under 5 who received ORS packet),4
Exclusive breastfeeding (% of children under 6 months),4
Female genital mutilation prevalence (%),4
Female primary school age children out-of-school (%),4
"Immunization, DPT (% of children ages 12-23 months)",4
"Immunization, HepB3 (% of one-year-old children)",4
"Immunization, measles (% of children ages 12-23 months)",4
Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),4
Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),4
Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),4
Male primary school age children out-of-school (%),4
Pregnant women receiving prenatal care (%),4
"Prevalence of HIV, female (% ages 15-24)",4
"Prevalence of HIV, male (% ages 15-24)",4
Prevalence of anemia among children (% of children ages 6-59 months),4
Prevalence of anemia among non-pregnant women (% of women ages 15-49),4
Prevalence of anemia among pregnant women (%),4
Prevalence of anemia among women of reproductive age (% of women ages 15-49),4
Prevalence of moderate or severe food insecurity in the population (%),4
"Prevalence of overweight (modeled estimate, % of children under 5)",4
"Prevalence of overweight, female (modeled estimate, % of children under 5)",4
"Prevalence of overweight, male (modeled estimate, % of children under 5)",4
"Prevalence of overweight, weight for height (% of children under 5)",4
"Prevalence of overweight, weight for height, female (% of children under 5)",4
"Prevalence of overweight, weight for height, male (% of children under 5)",4
Prevalence of severe food insecurity in the population (%),4
"Prevalence of severe wasting, weight for height (% of children under 5)",4
"Prevalence of severe wasting, weight for height, female (% of children under 5)",4
"Prevalence of severe wasting, weight for height, male (% of children under 5)",4
"Prevalence of stunting, height for age (% of children under 5)",4
"Prevalence of stunting, height for age (modeled estimate, % of children under 5)",4
"Prevalence of stunting, height for age, female (% of children under 5)",4
"Prevalence of stunting, height for age, female (modeled estimate, % of children under 5)",4
"Prevalence of stunting, height for age, male (% of children under 5)",4
"Prevalence of stunting, height for age, male (modeled estimate, % of children under 5)",4
"Prevalence of underweight, weight for age (% of children under 5)",4
"Prevalence of underweight, weight for age, female (% of children under 5)",4
"Prevalence of underweight, weight for age, male (% of children under 5)",4
"Prevalence of wasting, weight for height (% of children under 5)",4
"Prevalence of wasting, weight for height, female (% of children under 5)",4
"Prevalence of wasting, weight for height, male (% of children under 5)",4
Primary school age children out-of-school (%),4
"Probability of dying among children ages 5-9 years (per 1,000)",4
